id,name,belongs_to,main_category,created_at,updated_at,url,국민신문고 통합여부 1:미통합 2:통합,number_of_minwon,latest_minwon_date,조사시간,비고
49,북구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.bsbukgu.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2220,2020.6.30,2020-07-01 11:21:08.304235,
50,해운대구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.haeundae.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,9177,2020.7.1,2020-07-01 11:21:15.162109,
51,사하구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.saha.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,11407,2020.7.1,2020-07-01 11:21:24.530282,
52,금정구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.geumjeong.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,3913,2020.6.30,2020-07-01 11:21:29.014104,
53,강서구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.bsgangseo.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,4035,2020.6.30,2020-07-01 11:21:33.964705,
54,연제구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.yeonje.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5272,2020.6.30,2020-07-01 11:21:40.777214,
55,수영구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.suyeong.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,4381,2020.6.30,2020-07-01 11:21:44.206971,
56,사상구,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.sasang.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5358,2020.6.27,2020-07-01 11:21:48.953151,
57,기장군,부산광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.gijang.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,7209,2020.7.1,2020-07-01 11:21:55.409963,
58,중구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.jung.daegu.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2581,2020.7.1,2020-07-01 11:22:00.025055,
59,동구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.dong.daegu.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,4520,2020.7.1,2020-07-01 11:22:06.358545,
60,서구,대구광역시,기초자치단체,55:22.0,00:56.0,http://eminwon.dgs.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2422,2020.7.1,2020-07-01 11:22:11.685999,
